instansi,bagian,uraian,program,kegiatan,sub_kegiatan,sub_rincian,Cluster
dinas perhubungan,sekretariat dishub,sub keg penyediaan jasa pemeliharaan biaya pemeliharaan pajak perizinan kendaraan dinas operasional lapangan agustus,program penunjang urusan pemerintahan daerah kabupaten kota,pemeliharaan barang milik daerah penunjangurusan pemerintahan daerah,penyediaan jasa pemeliharaan biaya pemeliharaan pajak perizinan kendaraan dinas operasional lapangan,belanja pembayaran pajak bea perizinan,3
dinas perhubungan,upt perhubungan wilayah iv,sub kegiatan rehabilitasi pemeliharaan perlengkapan jalan juli upt wilayah iv leuwiliang,program penyelenggaraan lintas angkutan jalan llaj,penyediaan perlengkapan jalan jalan kabupaten kota,rehabilitasi pemeliharaan perlengkapan jalan,belanja pemeliharaan alat angkutanalat angkutan darat bermotorkendaraan dinas bermotor perorangan,3
dinas sosial,sekretariat dinsos,penyediaan bahan logistik kantor,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi perangkat daerah,penyediaan bahan logistik kantor,belanja bahanisi tabung gas,3
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan keuangan infrastruktur desa tahap i kegiatan pembangunan sab mck desa setu kec jasinga hr,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa,1
dinas pekerjaan penataan ruang,bidang penyehatan lingkungan,pembayaran termin kesatu pembangunan ipal skala permukiman minimal kk desa girimulya kecamatan cibungbulang dak fisik reguler pengembangan sistem pengelolaan air limbah domestik terpusat spaldt dak,program pengelolaan pengembangan sistem air limbah,pengelolaan pengembangan sistem air limbah domestik daerah kabupaten kota,pembangunan penyediaan sistem pengelolaan air limbah terpusat skala permukiman,belanja hibah uang badan lembaga nirlaba sukarela bersifat sosial kemasyarakatan,2
dinas sosial,bidang rehabilitasi sosial,belanja alat bahan kegiatan kantor suvenir cendera mata,program rehabilitasi sosial,rehabilitasi sosial penyandang kesejahteraan sosial pmks korban hiv aids napza panti sosial,pemberian bimbingan fisik mental spiritual sosial,belanja alat bahan kegiatan kantor suvenir cendera mata,4
dinas kesehatan,sekretariat dinas kesehatan,belanja modal personalcomputer sub kegiatan pengadaan sarana prasarana gedung kantor bangunan anggaran,program penunjang urusan pemerintahan daerah kabupaten kota,pengadaan barang milik daerah penunjangurusan pemerintah daerah,pengadaan sarana prasarana gedung kantor bangunan,belanja modal personal computer,4
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan alokasi dana desa tahap ii desa sukmajaya kec tajurhalang,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa bersumber alokasi dana desa,1
dinas pekerjaan penataan ruang,bidang irigasi sumberdaya air,pembayaran termyn i termyn ii prestasi pekerjaan subsub kegiatan penyusunan ded daerah irigasi paket vii,program pengelolaan sumber daya air sda,pengembangan pengelolaan sistem irigasi primer sekunder daerah irigasi luasnya ha daerah kabupaten kota,penyusunan rencana teknis dokumen lingkungan hidup konstruksi irigasi rawa,belanja modal bangunan air irigasi,2
dinas komunikasi informatika,bidang persandian statistik,belanja bahan cetak makan minum rapat sub kegiatan penyediaan layanan keamanan informasi pemerintah daerah kabupaten kota,program penyelenggaraan persandian pengamanan informasi,penyelenggaraan persandian pengamanan informasi pemerintah daerah kabupaten kota,penyediaan layanan keamanan informasi pemerintah daerah kabupaten kota,belanja makanan minuman rapat,4
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,belanja perjalanan dinas kota sub keg penyusunan bahan perumusan kebijakan bidang ketahanan ekonomi sosial budaya,program pembinaan pengembangan ketahanan ekonomi sosial budaya,perumusan kebijakan teknis pemantapan pelaksanaan bidang ketahanan ekonomi sosial budaya,penyusunan bahan perumusan kebijakan bidang ketahanan ekonomi sosial budaya fasilitasi pencegahan penyalagunaan narkotika fasilitasi kerukunan umat beragama penghayat kepercayaan daerah,belanja perjalanan dinas kota,1
dinas pendidikan,sekretariat dinas pendidikan,pengajuan pembayaran belanja tagihan internet agustus smpn kemang sub kegiatan penyediaan jasa komunikasi sumber daya air listrik id pel,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja kawat faksimili internet tv berlangganan,3
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan alokasi dana desa tahap ii desa cijeruk kec cijeruk,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa bersumber alokasi dana desa,1
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,honor narsum moderator kegiatan forkopimda goes to school smk fajar ciseeng smkn gunung sindur,program penguatan ideologi pancasila karakter kebangsaan,perumusan kebijakan teknis pemantapan pelaksanaan bidang ideologi pancasila karakter kebangsaan,perumusan kebijakan teknis bidang ideologi wawasan kebangsaan bela negara karakter bangsa pembauran kebangsaan bineka tunggal ika sejarah kebangsaan,honorarium narasumber pembahas moderator pembawa acara panitia,3
dinas pendidikan,bidang sarana prasarana,pembayaran hibah mi miftahul huda,program pengelolaan pendidikan,pengelolaan pendidikan sekolah dasar,rehabilitasi berat ruang kelas,belanja hibah uang badan lembaga nirlaba sukarela bersifat sosial kemasyarakatan,2
dinas sosial,bidang perlindungan jaminan sosial,belanja makanan minuman rapat,program perlindungan jaminan sosial,pengelolaan data fakir miskin cakupan daerah kabupaten kota,pendataan fakir miskin cakupan daerah kabupaten kota,belanja makanan minuman rapat,4
dinas perhubungan,upt perhubungan wilayah iv,sub kegiatan rehabilitasi pemeliharaan perlengkapan jalan juli upt wilayah iv leuwiliang,program penyelenggaraan lintas angkutan jalan llaj,penyediaan perlengkapan jalan jalan kabupaten kota,rehabilitasi pemeliharaan perlengkapan jalan,belanja bahanbahan bakar pelumas,3
dinas kependudukan pencatatan sipil,sekretariat disduk,belanja pemeliharaan bangunan gedung bangunan gedung kerja bangunan gedung kantor sub kegiatan pemeliharaanrehabilitasi gedung kantor bangunan,program penunjang urusan pemerintahan daerah kabupaten kota,pemeliharaan barang milik daerah penunjangurusan pemerintahan daerah,pemeliharaan rehabilitasi gedung kantor bangunan,belanja pemeliharaan bangunan gedungbangunan gedung kerjabangunan gedung kantor,4
dinas komunikasi informatika,sekretariat diskominfo,belanja bahan cetak sub kegiatan koordinasi penyusunan dokumen perubahan rkaskpd,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,koordinasi penyusunan dokumen perubahan rkaskpd,belanja alat bahan kegiatan kantor bahan cetak,1
dinas pekerjaan penataan ruang,bidang jasa konstruksi,belanja alatbahan kegiatan kantorkertas cover subsub kegiatan sosialisasi pengawasan jasa konstruksi,program pengembangan jasa konstruksi,pengawasan tertib usaha tertib penyelenggaraan tertib pemanfaatan jasa konstruksi,bimbingan teknis tertib usaha tertib penyelenggaraan tertib pemanfaatan jasa konstruksi,belanja alat bahan kegiatan kantor kertas cover,2
dinas pemuda olahraga,bidang layanan kepemudaan,honorarium narasumber pembahas moderator belanja jasa tenaga ahli sub kegiatan pelatihan kepemimpinan awardee beasiswa pancakarsa angkatan,program pengembangan kapasitas daya saing kepemudaan,penyadaran pemberdayaan pengembangan pemuda kepemudaan pemuda pelopor kabupaten kota wirausaha muda pemula pemuda kader kabupaten kota,pemberian penghargaan pemuda organisasi pemuda berjasa berprestasi,honorarium narasumber pembahas moderator pembawa acara panitia,2
dinas perhubungan,bidang sarana transportasi jalan,pelaksanaan inspeksi audit pemantauan sistem manajemen keselamatan perusahaan angkutan bln agustus,program penyelenggaraan lintas angkutan jalan llaj,audit inspeksi keselamatan llaj jalan,pelaksanaan inspeksi audit pemantauan sistem manajemen keselamatan perusahaan angkutan,belanja perjalanan dinas kota,4
dinas sosial,bidang perlindungan jaminan sosial,pendataan fakir miskin cakupan daerah kabupaten kota,program perlindungan jaminan sosial,pengelolaan data fakir miskin cakupan daerah kabupaten kota,pendataan fakir miskin cakupan daerah kabupaten kota,belanja perjalanan dinas,3
dinas kependudukan pencatatan sipil,upt kependudukan pencatatan sipil wilayah i,pengajuan gu sub kegiatan pelayanan aktif pendaftaran peristiwa kependudukan pencatatan peristiwa terkait pendaftaran penduduk upt wilayah i parung agustus,program pendaftaran penduduk,penyelenggaraan pendaftaran penduduk,pelayanan aktif pendaftaran peristiwa kependudukan pencatatan peristiwa terkait pendaftaran penduduk,belanja alat bahan kegiatan kantor kertas cover,1
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan alokasi dana desa tahap ii desa ciasihan kec pamijahan,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa bersumber alokasi dana desa,1
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,pencairan dana hibah komando sub garnisun bogor triwulan iii anggaran,program peningkatan peran partai politik lembaga pendidikan pendidikan politik pengembangan etika budaya politik,perumusan kebijakan teknis pemantapan pelaksanaan bidang pendidikan politik etika budaya politik peningkatan demokrasi fasilitasi kelembagaan pemerintahan perwakilan partai politik pemilihan pemilihan kepala daerah pemantauan situasi politik,pelaksanaan koordinasi bidang pendidikan politik etika budaya politik peningkatan demokrasi fasilitasi kelembagaan pemerintahan perwakilan partai politik pemilihan pemilihan kepala daerah pemantauan situasi politik daerah,belanja hibah uang pemerintah pusat,1
dinas pekerjaan penataan ruang,bidang penyehatan lingkungan,pembayaran pembangunan mck desa leuweung kolot kecamatan cibungbulang pembangunanpenyediaan sistem pengelolaan air limbah terpusat skala permukiman luncuran,program pengelolaan pengembangan sistem air limbah,pengelolaan pengembangan sistem air limbah domestik daerah kabupaten kota,pembangunan penyediaan sistem pengelolaan air limbah terpusat skala permukiman,belanja hibah barang badan lembaga nirlaba sukarela bersifat sosial kemasyarakatan,2
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,pencairan dana hibah forum kerukunan umat beragama fkub tahap ii,program pemberdayaan pengawasan organisasi kemasyarakatan,perumusan kebijakan teknis pemantapan pelaksanaan bidang pemberdayaan pengawasan organisasi kemasyarakatan,pelaksanaan koordinasi bidang pendaftaran ormas pemberdayaan ormas evaluasi mediasi sengketa ormas pengawasan ormas ormas asing daerah,belanja hibah uang badan lembaga bersifat nirlaba sukarela sosial dibentuk berdasarkan peraturan perundangundangan,1
dinas pemuda olahraga,bidang layanan kepemudaan,belanja perjalanan dinas kota sub keg pemberian penghargaan pemuda organisasi pemuda berjasa berprestasi pelatihan awardee,program pengembangan kapasitas daya saing kepemudaan,penyadaran pemberdayaan pengembangan pemuda kepemudaan pemuda pelopor kabupaten kota wirausaha muda pemula pemuda kader kabupaten kota,pemberian penghargaan pemuda organisasi pemuda berjasa berprestasi,belanja perjalanan dinas kota,2
dinas pendidikan,bidang sarana prasarana,pembangunan ruang lab komputer beserta perabotnya sdn pasirmuncang kec caringin dak fisik,program pengelolaan pendidikan,pengelolaan pendidikan sekolah dasar,pembangunan sarana prasarana utilitas sekolah,belanja modal bangunan gedung pendidikan,2
dinas perhubungan,sekretariat dishub,sub keg penyediaan jasa pemeliharaan biaya pemeliharaan pajak perizinan kendaraan dinas operasional lapangan juli,program penunjang urusan pemerintahan daerah kabupaten kota,pemeliharaan barang milik daerah penunjangurusan pemerintahan daerah,penyediaan jasa pemeliharaan biaya pemeliharaan pajak perizinan kendaraan dinas operasional lapangan,belanja pembayaran pajak bea perizinan,3
dinas pemuda olahraga,bidang layanan kepemudaan,belanja sewa bangunan gedung pertemuan sub kegiatan pemberian penghargaan pemuda organisasi pemuda berjasa danatau berprestasi pelatihan kepemimpinan awardee beasiswa pancakarsa,program pengembangan kapasitas daya saing kepemudaan,penyadaran pemberdayaan pengembangan pemuda kepemudaan pemuda pelopor kabupaten kota wirausaha muda pemula pemuda kader kabupaten kota,pemberian penghargaan pemuda organisasi pemuda berjasa berprestasi,belanja sewa bangunan gedung pertemuan,2
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,pencairan dana hibah badan narkotika nasional kabupaten bogor triwulan iii anggaran,program peningkatan peran partai politik lembaga pendidikan pendidikan politik pengembangan etika budaya politik,perumusan kebijakan teknis pemantapan pelaksanaan bidang pendidikan politik etika budaya politik peningkatan demokrasi fasilitasi kelembagaan pemerintahan perwakilan partai politik pemilihan pemilihan kepala daerah pemantauan situasi politik,pelaksanaan koordinasi bidang pendidikan politik etika budaya politik peningkatan demokrasi fasilitasi kelembagaan pemerintahan perwakilan partai politik pemilihan pemilihan kepala daerah pemantauan situasi politik daerah,belanja hibah uang pemerintah pusat,1
dinas pendidikan,bidang sarana prasarana,pengadaan alat tulis kantor biaya penunjang dak,program pengelolaan pendidikan,pengelolaan pendidikan sekolah dasar,pembangunan perpustakaan sekolah,belanja modal bangunan gedung pendidikan,2
dinas sosial,bidang rehabilitasi sosial,belanja jasa tenaga penanganan sosialpendamping abh,program rehabilitasi sosial,rehabilitasi sosial dasar penyandang disabilitas terlantar anak terlantar usia terlantar gelandangan pengemis panti sosial,pemberian layanan rujukan,belanja jasa tenaga penanganan sosial,4
dinas pekerjaan penataan ruang,bidang jasa konstruksi,belanja alatbahan kegiatan kantor bahan cetak subsub kegiatan bimtek pembekalan sertifikasi penanggung badan usaha kelengkapan perijinan berusaha jasa konstruksi,program pengembangan jasa konstruksi,penerbitan izin usaha jasa konstruksi nasional non,pembinaan peningkatan kapasitas badan usaha jasa konstruksi,belanja alat bahan kegiatan kantor bahan cetak,2
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,belanja kertas cover belanja bahan komputer belanja makanan minuman rapat sub keg koordinasi penyusunan perubahan dpa skpd,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,koordinasi penyusunan perubahan dpa skpd,belanja alat bahan kegiatan kantor kertas cover,1
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan alokasi dana desa tahap ii desa palasari kec cijeruk,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa bersumber alokasi dana desa,1
dinas pendidikan,bidang sarana prasarana,pembangunan ruang lab komputer beserta perabotnya sdn karehkel kec tamansari dak fisik,program pengelolaan pendidikan,pengelolaan pendidikan sekolah dasar,pembangunan sarana prasarana utilitas sekolah,belanja modal bangunan gedung pendidikan,2
dinas pekerjaan penataan ruang,bidang penaataan ruang,belanja jasa tenaga penanganan prasarana sarana belanja iuran jaminan kesehatan non asn subsub kegiatan updating data informasi penataan ruang,program penyelenggaraan penataan ruang,penetapan rencana tata ruang wilayah rtrw rencana rinci tata ruang rrtr kabupaten kota,pelaksanaan persetujuan substansi evaluasi konsultasi evaluasi penetapan rrtr kabupaten kota,belanja jasa tenaga penanganan prasarana sarana,4
dinas kependudukan pencatatan sipil,sekretariat disduk,pengajuan gu sub kegiatan evaluasi kinerja perangkat daerah agustus,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,evaluasi kinerja perangkat daerah,belanja alat bahan kegiatan kantor bahan cetak,1
dinas komunikasi informatika,sekretariat diskominfo,belanja tagihan telepon agustus kegiatan,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja tagihan telepon,3
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan alokasi dana desa tahap ii desa kedungwaringin kec bojong gede,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa bersumber alokasi dana desa,1
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan alokasi dana desa tahap ii desa kutamekar kec cariu,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa bersumber alokasi dana desa,1
dinas pekerjaan penataan ruang,bidang irigasi sumberdaya air,pembayaran termyn i termyn ii prestasi pekerjaan subsub kegiatan penyusunan ded tanggul penahan tebing paket vii,program pengelolaan sumber daya air sda,pengembangan pengelolaan sistem irigasi primer sekunder daerah irigasi luasnya ha daerah kabupaten kota,penyusunan rencana teknis dokumen lingkungan hidup konstruksi irigasi rawa,belanja modal bangunan air irigasi,2
dinas komunikasi informatika,bidang aplikasi teknologi informasi infrastruktur informasi,belanja makanan minuman rapat kegiatan spbe gcio juli,program pengelolaan aplikasi informatika,pengelolaan e government lingkup pemerintah daerah kabupaten kota,pengelolaan government chief information officer gcio,belanja makanan minuman rapat,2
dinas kesehatan,bidang kesehatan masyarakat,belanja natura pakan natura keg pengelolaan pelayanan kesehatan masyarakat,program pemenuhan upaya kesehatan perorangan upaya kesehatan masyarakat,penyediaan layanan kesehatan ukm ukp rujukan tingkat daerah kabupaten kota,pengelolaan pelayanan kesehatan gizi masyarakat,belanja natura pakannatura,2
dinas perhubungan,sekretariat dishub,sub keg penyediaan bahan logistik kantor juli,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi perangkat daerah,penyediaan bahan logistik kantor,belanja bahanbahan bakar pelumas,3
dinas perhubungan,bidang angkutan,belanja jasa paketpengiriman sub kegiatan fasilitasi pemenuhan persyaratan perolehan izin penyelenggaraan angkutan orang trayek kewenangankabupatenkota spj juli,program penyelenggaraan lintas angkutan jalan llaj,penerbitan izin penyelenggaraan angkutan orang trayek lintas daerah kabupaten kota daerah kabupaten kota,fasilitasi pemenuhan persyaratan perolehan izin penyelenggaraan angkutan orang trayek kewenangan kabupaten kota sistem pelayanan perizinan berusaha terintegrasi elektronik,belanja paket pengiriman,4
dinas pemuda olahraga,bidang layanan kepemudaan,belanja jasa tenaga ahli honorarium narasumber moderator instruktur kegiatan pemberian penghargaan pemuda organisasi pemuda berjasa danatau berperstasi pelatihan kepemimpinan awardee beasiswa pancakarsa angkatan,program pengembangan kapasitas daya saing kepemudaan,penyadaran pemberdayaan pengembangan pemuda kepemudaan pemuda pelopor kabupaten kota wirausaha muda pemula pemuda kader kabupaten kota,pemberian penghargaan pemuda organisasi pemuda berjasa berprestasi,honorarium narasumber pembahas moderator pembawa acara panitia,2
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan alokasi dana desa tahap ii desa sasak kec tajurhalang,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa bersumber alokasi dana desa,1
dinas pendidikan,bidang sarana prasarana,pembayaran hibah mis nurul islam,program pengelolaan pendidikan,pengelolaan pendidikan sekolah dasar,rehabilitasi berat ruang kelas,belanja hibah uang badan lembaga nirlaba sukarela bersifat sosial kemasyarakatan,2
dinas perhubungan,sekretariat dishub,sub keg penyusunan dokumen perencanaan perangkat daerah juni,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,penyusunan dokumen perencanaan perangkatdaerah,belanja perjalanan dinas paket meeting kota,3
dinas perhubungan,bidang prasarana perlengkapan jalan,sub kegiatan rehabilitasi pemeliharaan terminal fasilitas utama pendukung juni,program penyelenggaraan lintas angkutan jalan llaj,pengelolaan terminal penumpang tipe c,rehabilitasi pemeliharaan terminal fasilitas utama pendukung,belanja makanan minuman rapat,3
dinas pemuda olahraga,bidang layanan kepemudaan,belanja perjalanan dinas kota kegiatan pelatihan kepemimpinan awarde beasiswa pancakarsa angkatan,program pengembangan kapasitas daya saing kepemudaan,penyadaran pemberdayaan pengembangan pemuda kepemudaan pemuda pelopor kabupaten kota wirausaha muda pemula pemuda kader kabupaten kota,pemberian penghargaan pemuda organisasi pemuda berjasa berprestasi,belanja perjalanan dinas kota,2
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan keuangan infrastruktur desa tahap i kegiatan tpt desa cipambuan kec babakan madang hr,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa,1
dinas pendidikan,sekretariat dinas pendidikan,pengajuan pembayaran biaya tagihan internet agustus smp negeri wilayah kabupaten bogor wilayah sub kegiatan penyediaan jasa komunikasi sumber daya air listrikpgdinv,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja kawat faksimili internet tv berlangganan,3
dinas kesehatan,bidang sumberdaya kesehatan,pembayaran belanja modal bangunan kesehatan pemasanganpenyambungan instalasi jaringan pipa air bersih rsud parung,program pemenuhan upaya kesehatan perorangan upaya kesehatan masyarakat,penyediaan fasilitas pelayanan kesehatan ukm ukp kewenangan daerah kabupaten kota,pembangunan rumah sakit beserta sarana prasarana pendukungnya,belanja modal bangunan kesehatan,2
dinas perhubungan,upt perhubungan wilayah iii,sub kegiatan rehabilitasi pemeliharaan perlengkapan jalan juli upt wilayah iii ciawi,program penyelenggaraan lintas angkutan jalan llaj,penyediaan perlengkapan jalan jalan kabupaten kota,rehabilitasi pemeliharaan perlengkapan jalan,belanja bahanbahan bakar pelumas,3
dinas kesehatan,sekretariat dinas kesehatan,belanja modal alat pendingin sub kegiatan pengadaan sarana prasarana gedung kantor bangunan anggaran,program penunjang urusan pemerintahan daerah kabupaten kota,pengadaan barang milik daerah penunjangurusan pemerintah daerah,pengadaan sarana prasarana gedung kantor bangunan,belanja modal alat pendingin,4
dinas sosial,sekretariat dinsos,penyusunan dokumen perencanaan perangkat daerah,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,penyusunan dokumen perencanaan perangkatdaerah,belanja makanan minuman rapat,3
dinas pemuda olahraga,sekretariat dispora,belanja alat bahan kegiatan kantor bahan cetak kegiatan penyusunan dokumen perencanaan perangkatdaerah,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,penyusunan dokumen perencanaan perangkatdaerah,belanja alat bahan kegiatan kantor bahan cetak,4
dinas pekerjaan penataan ruang,bidang penyehatan lingkungan,pembayaran termin kesatu pembangunan ipal skala permukiman minimal kk desa karehkel kecamatan leuwiliang dak fisik reguler pengembangan sistem pengelolaan air limbah domestik terpusat spaldt dak,program pengelolaan pengembangan sistem air limbah,pengelolaan pengembangan sistem air limbah domestik daerah kabupaten kota,pembangunan penyediaan sistem pengelolaan air limbah terpusat skala permukiman,belanja hibah uang badan lembaga nirlaba sukarela bersifat sosial kemasyarakatan,2
dinas kesehatan,rsud cileungsi,rsud cileungsi belanja tagihan internet juli,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja kawat faksimili internet tv berlangganan,3
dinas pendidikan,sekretariat dinas pendidikan,pengajuan pembayaran belanja tagihan internet agustus smpn gunungsindur sub kegiatan penyediaan jasa komunikasi sumber daya air listrik id pel skw,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja kawat faksimili internet tv berlangganan,3
dinas pekerjaan penataan ruang,bidang penyehatan lingkungan,pembayaran belanja jasa tenaga sumber daya air tfl sanitasi juni penyusunan rencana kebijakan strategi teknis sistem pengelolaan air limbah domestik daerah kabupatenkota,program pengelolaan pengembangan sistem air limbah,pengelolaan pengembangan sistem air limbah domestik daerah kabupaten kota,penyusunan rencana kebijakan strategi teknis sistem pengelolaan air limbah domestik daerah kabupaten kota,belanja jasa tenaga sumber daya air,2
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan alokasi dana desa tahap ii desa cibalung kec cijeruk,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa bersumber alokasi dana desa,1
dinas pemuda olahraga,sekretariat dispora,belanja makanan minuman rapat kegiatan pelaksanaan penatausahaan pengujianverifikasi keuangan skpd termin,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi keuangan perangkat daerah,pelaksanaan penatusahaan pengujian verifikasi keuangan skpd,belanja makanan minuman rapat,4
dinas kesehatan,upt laboratorium kesehatan daerah,pembayaran ls belanja jasa tenaga belanja jasa tagihan juli sub kegiatan operasional pelayanan fasilitas kesehatan upt labkesda sumber dana dau tematik ditentukan,program pemenuhan upaya kesehatan perorangan upaya kesehatan masyarakat,penyediaan layanan kesehatan ukm ukp rujukan tingkat daerah kabupaten kota,operasional pelayanan fasilitas kesehatan,belanja jasa pengolahan sampah,1
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan alokasi dana desa tahap ii desa cikeas kec sukaraja,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa bersumber alokasi dana desa,1
dinas kesehatan,sekretariat dinas kesehatan,belanja modal alat pendingin sub kegiatan pengadaan sarana prasana gedung kantor bangunan anggaran,program penunjang urusan pemerintahan daerah kabupaten kota,pengadaan barang milik daerah penunjangurusan pemerintah daerah,pengadaan sarana prasarana gedung kantor bangunan,belanja modal alat pendingin,4
dinas pekerjaan penataan ruang,bidang penaataan ruang,belanja jasa tenaga penanganan prasarana sarana belanja iuran jaminan kesehatan non asn subsub kegiatan pengawasan pemanfaatan ruang,program penyelenggaraan penataan ruang,koordinasi sinkronisasi pengendalian pemanfaatan ruang daerah kabupaten kota,koordinasi pelaksanaan penataan ruang,belanja jasa tenaga penanganan prasarana sarana,4
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan alokasi dana desa tahap ii desa warung menteng kec cijeruk,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa bersumber alokasi dana desa,1
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan keuangan infrastruktur desa tahap i kegiatan pembangunan tpt desa cimanggu i kec cibungbulang hr,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa,1
dinas pemuda olahraga,sekretariat dispora,belanja jasa pengelohan sampah juli kegiatan penyediaan bahan logistik kantor,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi perangkat daerah,penyediaan bahan logistik kantor,belanja jasa pengolahan sampah,4
dinas komunikasi informatika,sekretariat diskominfo,belanja kertas cover sub kegiatan pelaporan pengelolaan retribusi daerah,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi pendapatan daerah kewenanganperangkat daerah,pelaporan pengelolaan retribusi daerah,belanja alat bahan kegiatan kantor kertas cover,4
